SK_ID_CURR,neighbors_target_mean_500
266196,0.012
266197,0.048
266198,0.032
266199,0.16
266200,0.112
266201,0.13
266203,0.042
266204,0.012
266205,0.102
266206,0.034
266207,0.06
266208,0.05
266209,0.032
266211,0.074
266212,0.106
266216,0.072
266217,0.316
266218,0.31
266219,0.156
266220,0.05
266221,0.106
266223,0.058
266226,0.092
266228,0.074
266229,0.066
266232,0.044
266233,0.082
266234,0.102
263852,0.042
263853,0.23
263866,0.03
263867,0.018
263876,0.162
263886,0.188
263899,0.166
263910,0.01
263921,0.026
263925,0.062
263927,0.172
263942,0.064
263944,0.066
263952,0.03
263963,0.018
263989,0.034
263990,0.132
263999,0.056
264000,0.172
264026,0.176
264031,0.03
264034,0.022
264036,0.26
264066,0.354
264068,0.158
264071,0.066
264079,0.036
264099,0.034
264103,0.07
264104,0.014
264115,0.108
264121,0.016
264130,0.15
264163,0.036
264164,0.152
264177,0.048
264184,0.054
264185,0.162
264189,0.038
264190,0.068
264193,0.05
264202,0.076
264208,0.032
264210,0.016
264217,0.038
264240,0.07
264247,0.04
264255,0.048
264256,0.04
264267,0.046
264269,0.086
264270,0.116
264284,0.086
264287,0.114
264295,0.172
264296,0.046
264304,0.026
264305,0.078
264323,0.034
264332,0.098
264342,0.03
264345,0.03
264349,0.138
264353,0.058
264364,0.078
264369,0.3
264372,0.094
264389,0.178
264391,0.056
264403,0.118
264409,0.042
264412,0.008
264418,0.094
264427,0.184
264432,0.232
264440,0.33
264447,0.016
264450,0.156
264501,0.068
264514,0.184
264517,0.096
264520,0.076
264526,0.008
264543,0.04
264572,0.058
264586,0.186
264601,0.074
264646,0.154
264647,0.124
264659,0.078
264673,0.012
264678,0.058
264679,0.058
264685,0.038
264690,0.022
264702,0.056
264704,0.042
264717,0.02
264719,0.058
264734,0.024
264743,0.05
264768,0.108
264777,0.03
264783,0.176
264785,0.082
264802,0.014
264808,0.072
264813,0.078
264814,0.022
264824,0.048
264827,0.03
264830,0.176
264835,0.182
264843,0.142
264866,0.086
264869,0.174
264879,0.018
264902,0.16
264911,0.068
264919,0.056
264928,0.216
264929,0.06
264946,0.078
264951,0.014
264964,0.032
264974,0.058
264977,0.182
264980,0.128
264987,0.266
265012,0.12
265031,0.056
265032,0.068
265038,0.154
265048,0.07
265055,0.128
265060,0.12
265063,0.202
265078,0.06
265117,0.022
265132,0.15
265142,0.054
265150,0.186
265157,0.268
265197,0.02
265235,0.086
265245,0.052
265271,0.016
265288,0.042
265296,0.016
265306,0.058
265311,0.1
265315,0.114
265319,0.028
265323,0.264
265341,0.064
265347,0.22
265359,0.06
265360,0.074
265385,0.106
265394,0.01
265402,0.09
265404,0.086
265406,0.174
265407,0.016
265416,0.024
265428,0.07
265437,0.17
265442,0.04
265448,0.064
265453,0.062
265456,0.066
265465,0.05
265472,0.172
265476,0.186
265501,0.08
265502,0.186
265517,0.198
265523,0.062
265524,0.052
265526,0.018
265528,0.054
265531,0.292
265542,0.06
265544,0.152
265580,0.184
265600,0.074
265603,0.14
265614,0.042
265617,0.042
265639,0.164
265642,0.086
265664,0.056
265690,0.074
265694,0.038
265703,0.188
265704,0.022
265715,0.11
265741,0.192
265745,0.268
265753,0.042
265754,0.164
265755,0.018
265756,0.062
265758,0.032
265765,0.068
265770,0.072
265773,0.024
265780,0.07
265800,0.352
265801,0.146
265804,0.07
265827,0.09
265842,0.07
265853,0.044
265870,0.094
265872,0.236
265897,0.032
265902,0.122
265909,0.098
265920,0.028
265921,0.05
265924,0.178
265928,0.022
265935,0.046
265938,0.024
265942,0.112
265947,0.032
265960,0.168
265962,0.04
265973,0.048
265977,0.308
265978,0.048
265980,0.22
265996,0.024
266002,0.196
266007,0.068
266037,0.21
266040,0.022
266044,0.178
266053,0.184
266056,0.188
266061,0.048
266063,0.192
266080,0.168
266085,0.056
266095,0.038
266102,0.016
266110,0.04
266121,0.016
266127,0.122
266128,0.056
266145,0.066
266163,0.154
266167,0.062
266175,0.05
266178,0.196
266184,0.048
266188,0.15
266191,0.202
266193,0.046
266195,0.102
266202,0.166
266215,0.098
266225,0.322
266231,0.212
266235,0.068
266236,0.038
266237,0.102
266239,0.012
266241,0.056
266242,0.094
266243,0.014
266244,0.122
266245,0.052
266246,0.026
266249,0.03
266250,0.128
266251,0.124
266252,0.138
266253,0.14
266254,0.032
266256,0.042
266258,0.022
266260,0.046
266261,0.062
266262,0.026
266263,0.132
266264,0.034
266265,0.092
266267,0.01
266269,0.048
266271,0.34
266272,0.206
266273,0.04
266274,0.184
266277,0.094
266280,0.024
266281,0.126
266283,0.072
266284,0.026
266285,0.042
266286,0.072
266287,0.012
266288,0.036
266290,0.052
266292,0.068
266293,0.088
266294,0.042
266296,0.028
266297,0.114
266298,0.122
266299,0.08
266300,0.06
266301,0.034
266302,0.01
266305,0.036
266306,0.024
266309,0.212
266310,0.046
266311,0.042
266312,0.036
266313,0.098
266315,0.038
266316,0.05
266317,0.226
266318,0.046
266320,0.088
266322,0.074
266324,0.062
266325,0.026
266326,0.102
266327,0.208
266328,0.08
266330,0.05
266332,0.012
266335,0.066
266336,0.036
266337,0.032
266341,0.292
266342,0.05
266343,0.082
266345,0.122
266346,0.24
266349,0.036
266350,0.094
266351,0.058
266352,0.03
266353,0.032
266356,0.026
266357,0.032
266358,0.066
266360,0.06
266361,0.034
266363,0.052
266366,0.196
266367,0.276
266368,0.066
266369,0.25
266371,0.02
266372,0.05
266373,0.052
266375,0.154
266376,0.036
266377,0.122
266378,0.074
266381,0.038
266382,0.098
266383,0.034
266384,0.032
266385,0.036
266389,0.022
266390,0.07
266392,0.352
266394,0.018
266395,0.06
266398,0.118
266399,0.05
266401,0.034
266403,0.12
266404,0.096
266405,0.104
266407,0.024
266408,0.166
266409,0.088
266410,0.072
266411,0.136
266412,0.064
266413,0.032
266414,0.024
266415,0.06
266416,0.08
